partition,model,n,mse,rmse,mae,r2
outer_0,base_direct,670,18.74355426788853,4.329382665910757,3.398142013995629,0.9765228266682011
outer_0,base_residual,670,28.197775706428974,5.310157785455059,4.19037995375583,0.9646809746769766
outer_0,group_selected_v3,670,18.382164581289913,4.287442662157701,3.3642225555445036,0.9769754840559803
outer_0,history_anchor,670,71.88302183840716,8.478385567925486,6.689773880597014,0.9099631724488358
outer_0,joint_direct,670,18.780013048397645,4.333591241499092,3.4491975270110378,0.9764771603502101
outer_0,joint_residual,670,34.250466293072044,5.8523897933299045,4.661157746125436,0.9570996982554703
outer_0,previous_control,670,22.089256853182448,4.699920941162994,3.5994588423496436,0.9723321785985253
outer_0,robust_reference,670,23.08188018542188,4.8043605386588,3.7199371809439765,0.9710888717160041
outer_0,selected,670,19.262642198217677,4.388922669427849,3.440464020261039,0.9758726448968783
outer_1,base_direct,434,15.39721786877659,3.9239288817174796,3.0299647590773393,0.987639409305811
outer_1,base_residual,434,25.692663123356326,5.068793063773301,3.9349651448941914,0.9793744236512044
outer_1,group_selected_v3,434,18.898556905695578,4.347247049075492,3.3533028373580476,0.9848286015945877
outer_1,history_anchor,434,94.39979685298145,9.715955786899272,7.848011859141215,0.924217656692351
outer_1,joint_direct,434,18.131073005354846,4.258059770054296,3.259272793657576,0.9854447229249048
outer_1,joint_residual,434,25.871613967683157,5.086414647635715,3.9923838195341768,0.9792307653513769
outer_1,previous_control,434,25.824217922787696,5.081753429947944,4.0552417494943285,0.9792688139856476
outer_1,robust_reference,434,20.615122566877872,4.540387931320172,3.555765574147763,0.9834505756603961
outer_1,selected,434,17.904292980497008,4.231346473700423,3.3579027922647673,0.9856267775719699
outer_2,base_direct,426,20.183123791014594,4.492563164944328,3.629504328922934,0.9774757230416142
outer_2,base_residual,426,40.52505358233424,6.365929121686341,5.057125859915383,0.9547742192886768
outer_2,group_selected_v3,426,18.918036813776617,4.349486959835219,3.4782627916940965,0.9788875545175942
outer_2,history_anchor,426,36.07353015605401,6.006124387327823,4.679185369718311,0.9597420997604259
outer_2,joint_direct,426,23.86401150189713,4.885080501066193,3.902194999881674,0.973367868622689
outer_2,joint_residual,426,48.2691358784811,6.9475992888537474,5.491701113325966,0.94613185766849
outer_2,previous_control,426,21.381789477273053,4.6240447096965935,3.7095553243732122,0.9761380174328413
outer_2,robust_reference,426,21.872868204354667,4.676843829374108,3.7459830036649393,0.9755899757435721
outer_2,selected,426,46.94292399059189,6.851490640042639,5.382238830532154,0.9476119042746362
outer_3,base_direct,188,13.965244169661833,3.7370100574740004,2.9789290377847535,0.9749280832701837
outer_3,base_residual,188,19.800889331096712,4.449819022285818,3.6297938352030896,0.9644513019282507
outer_3,group_selected_v3,188,18.949665337587135,4.353121332743568,3.380158763327698,0.9659795113046437
outer_3,history_anchor,188,79.94469266398538,8.941179601371699,7.411250425531913,0.8564746413946347
outer_3,joint_direct,188,19.373944932207113,4.401584366135348,3.5333865629474683,0.9652177986888641
outer_3,joint_residual,188,20.091727572217106,4.4823796773831095,3.6251703558388013,0.9639291576624843
outer_3,previous_control,188,22.86073774212408,4.781290384626736,3.7914907954038894,0.9589579311260561
outer_3,robust_reference,188,24.36605846082085,4.93619878659894,3.957775884199913,0.956255416565457
outer_3,selected,188,17.54144640591719,4.188250996050402,3.393835431710819,0.9685076982352295
outer_4,base_direct,259,17.635139847287782,4.199421370532824,3.2822278328386014,0.9773348779039416
outer_4,base_residual,259,15.916469665683687,3.989545044949823,3.0942511151007968,0.9795437557379839
outer_4,group_selected_v3,259,18.215046792113274,4.267908948432859,3.366393917339281,0.9765895670176861
outer_4,history_anchor,259,53.10255434819753,7.287149946872065,5.772757152509656,0.9317512711361015
outer_4,joint_direct,259,21.44252358972967,4.630607259283567,3.663635561344999,0.9724415332445702
outer_4,joint_residual,259,17.675218550918878,4.204190594028638,3.25071299302194,0.9772833677532358
outer_4,previous_control,259,19.026534935353578,4.3619416474035475,3.3767539120825254,0.9755466221924498
outer_4,robust_reference,259,18.253534484052643,4.272415532699581,3.3154974075468653,0.9765401016749354
outer_4,selected,259,16.95816764773503,4.118029583154428,3.1761829013393985,0.9782049394793738
