evaluation,policy,model,dimension,value,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean,s_score_overflow
nested_oof,completed,base_direct,all,all,1977,17.719550720207653,4.2094596708137795,3.312121581561223,0.9803671353804697,0.040472056082630777,4.047205608263078,1.3833558086589974,0.3833558086589975,False
nested_oof,completed,base_direct,STAGE,A,1162,16.911711860287067,4.112385178979112,3.2263149101182154,0.9874661241459123,0.03823017244266786,3.823017244266786,1.36643454829323,0.36643454829323,False
nested_oof,completed,base_direct,STAGE,B,815,18.87134060392265,4.344115629667637,3.4344618910296596,0.7743396858432221,0.043668459505498136,4.366845950549814,1.4074815811068773,0.407481581106877,False
nested_oof,completed,base_direct,condition,Cond1,798,18.002937297586907,4.24298683683875,3.3558026913026975,0.5928789544078485,0.04681271811363562,4.681271811363562,1.3829976898681227,0.38299768986812266,False
nested_oof,completed,base_direct,condition,Cond2,815,18.87134060392265,4.344115629667637,3.4344618910296596,0.7743396858432221,0.043668459505498136,4.366845950549814,1.4074815811068773,0.407481581106877,False
nested_oof,completed,base_direct,condition,Cond3,364,14.51940994005281,3.8104343505764287,2.942437851367618,0.04267341237813482,0.019414591548623173,1.9414591548623172,1.3301230456098116,0.3301230456098117,False
nested_oof,completed,base_residual,all,all,1977,27.896677381171823,5.281730529019047,4.124166584751506,0.9690911073871268,0.050212933623560156,5.021293362356015,1.524312469084368,0.524312469084368,False
nested_oof,completed,base_residual,STAGE,A,1162,19.942466347652623,4.465698864416702,3.5335995347183244,0.9852199233589852,0.04129732848458044,4.129732848458044,1.4152973362999082,0.4152973362999081,False
nested_oof,completed,base_residual,STAGE,B,815,39.237527959023744,6.263986586753179,4.966177519890837,0.5308042458770436,0.06292450806711161,6.2924508067111615,1.6797426338641746,0.6797426338641746,False
nested_oof,completed,base_residual,condition,Cond1,798,20.248332518413296,4.499814720453865,3.5454811882136856,0.5421012599150176,0.04952181287011256,4.952181287011256,1.4192010536715105,0.41920105367151067,False
nested_oof,completed,base_residual,condition,Cond2,815,39.237527959023744,6.263986586753179,4.966177519890837,0.5308042458770436,0.06292450806711161,6.2924508067111615,1.6797426338641746,0.6797426338641746,False
nested_oof,completed,base_residual,condition,Cond3,364,19.27191358867729,4.389978768590719,3.5075512943631084,-0.27067941114449856,0.023266728100913896,2.3266728100913894,1.406739186677549,0.4067391866775489,False
nested_oof,completed,group_selected_v3,all,all,1977,18.643066187065592,4.31776171031538,3.388198464838835,0.9793439009643631,0.04110777866029464,4.110777866029465,1.3931219436411926,0.39312194364119274,False
nested_oof,completed,group_selected_v3,STAGE,A,1162,18.375515988079446,4.2866672355198565,3.335148249301203,0.9863812464372556,0.03898008080061749,3.898008080061749,1.37698578041121,0.3769857804112101,False
nested_oof,completed,group_selected_v3,STAGE,B,815,19.024530397153825,4.361711865443867,3.463835704660587,0.7725078680835991,0.04414137978047236,4.414137978047236,1.416128350602223,0.41612835060222314,False
nested_oof,completed,group_selected_v3,condition,Cond1,798,19.29464790117042,4.392567347368782,3.4331938260530093,0.563668022722613,0.04732604433332979,4.7326044333329795,1.3823548845315847,0.3823548845315848,False
