evaluation,reference,reference_mse,selected_mse,mse_reduction_percent,delta_low,delta_high
nested_oof,robust_reference,21.769422961718107,24.463366915229887,-12.374898306901038,-4.13091242204409,11.532612457992833
nested_oof,group_selected_v3,18.643066187065592,24.463366915229887,-31.219653836783422,-0.5229812647562608,14.467681865170958
nested_oof,previous_control,22.428854947504465,24.463366915229887,-9.070957801846191,-5.937445761148977,11.538930335093902
temporal,robust_reference,11.771405848313254,14.673438242637186,-24.653235405521002,0.6622190326020926,8.299611028419369
temporal,group_selected_v3,14.3295787867202,14.673438242637186,-2.3996480359607997,-3.493419202281202,9.637811553580258
temporal,previous_control,12.420051911737461,14.673438242637186,-18.143131340459064,-0.04148199547281122,7.843294091627417
test,robust_reference,8.949090955954563,13.80807620545069,-54.29585276773887,,
test,group_selected_v3,11.310693687200155,13.80807620545069,-22.079835130507686,,
test,previous_control,9.345806829946223,13.80807620545069,-47.74621877702712,,
validation,robust_reference,8.540213130821957,12.585288667874401,-47.36504200877154,,
validation,group_selected_v3,8.991572477211498,12.585288667874401,-39.96760521889715,,
validation,previous_control,8.995549971273991,12.585288667874401,-39.90571680512842,,
