partition,role,sample_id
outer_0,train,6e12493812a5f565ce96
outer_0,train,2be9803bbdbf02137071
outer_0,train,bccda63c87bec0a47d9c
outer_0,train,faf9b118b6bb6efefe7e
outer_0,train,cffaf60b05aca089e80d
outer_0,train,6d54594b80801a7f0163
outer_0,train,3abcf2a307208ba996a4
outer_0,train,35ebfd06335c31593335
outer_0,train,aabfebf8e14b506d8151
outer_0,train,a977f34f9236cdacff16
outer_0,train,351473c7e4037343d255
outer_0,train,eaa7a669dfe8f22214a4
outer_0,train,d0e1b9e587a5a312fad4
outer_0,train,d2d996299d0391e7d6fc
outer_0,train,69608816b1a4f857c209
outer_0,train,e987ea7f07fb8a25b0dd
outer_0,train,8a0ffc2f2fee8840281a
outer_0,train,abd2d498ddc961fb5dc1
outer_0,train,36c33a438518ee36f0ea
outer_0,train,3e8fc3c783193cad51dd
outer_0,train,8b02b17c76920c23a405
outer_0,train,b886a352d8b662dc1118
outer_0,train,e1d70ef84f51e97ba0b7
outer_0,train,d8d132b69ad481892b4a
outer_0,train,06c4e2ce0edf6cb6963e
outer_0,train,8a0e21deec15547d6452
outer_0,train,1202e8a96e82096f8f00
outer_0,train,5967fa72261c0fd8db68
outer_0,train,d7436ce2f1d8c85543ee
outer_0,train,1d00227e7a238234e187
outer_0,train,7961971dc74deb9a0ca0
outer_0,train,5fe6dba94c362366a1f5
outer_0,train,3b03297e1603ab9b5488
outer_0,train,5b1b682b0465237b3156
outer_0,train,992be32d31162a019ccb
outer_0,train,9b4c85f86c219eb6cf56
outer_0,train,68495d6c21e8fa63fb20
outer_0,train,6242717d11439aa52fa0
outer_0,train,f762b66e2365dad1ec3b
outer_0,train,7f904efd7bcecf749eaa
outer_0,train,8d5b52254a54ef95fcae
outer_0,train,0dcde823a8ec97462306
outer_0,train,aacc07fb34b57f2be4b7
outer_0,train,54ea818ed17d5c548e38
outer_0,train,fd8805cdd710fc87a674
outer_0,train,aa833edfcfe52111805a
outer_0,train,a9bcbd71b5af4b4cbfaf
outer_0,train,dde928a156646f905507
outer_0,train,d526e090eb99bb64a8e6
outer_0,train,a5e6e66b9b2c6cb855ef
outer_0,train,44e52ff08d7fb0d81b3c
outer_0,train,92ab94f2d7cb1cf50313
outer_0,train,7ecd59b97bf6a9ca99f7
outer_0,train,f134708f5da7f0cd73a9
outer_0,train,8c13374f71f9648f9867
outer_0,train,5e5d579570007a23d7eb
outer_0,train,d7d7474c81d8e5810c15
outer_0,train,4907a2a11e59261d4b86
outer_0,train,eb66e937c4abfef983d0
outer_0,train,e559fce816f947034c61
outer_0,train,126cd89115fe38621500
outer_0,train,9a132ed310956d20af13
outer_0,train,b389505019dd9940d414
outer_0,train,58d2128e80e980fb65f7
outer_0,train,f799f0e4bb0a091815b2
outer_0,train,3d8d5ab81cd414c139d6
outer_0,train,63f53d160afb7ded1c8e
outer_0,train,1138e94a205a683256cf
outer_0,train,deb8c56a8a065bc563f4
outer_0,train,369c1a3e76aa298f75dd
outer_0,train,bbab691563db880b1976
outer_0,train,cf79490e0df97330ab40
outer_0,train,db52fd4d3e5abf26f054
outer_0,train,c9df686eb8d8acd2012e
outer_0,train,71bb64b6261727ce389a
outer_0,train,832e2588b27dc2e612fc
outer_0,train,7d57d322a34aef2fef83
outer_0,train,50aa94e96643de7fceb8
outer_0,train,04322e7ae01b4680d35d
outer_0,train,9e55e27c51b3f1468e8b
outer_0,train,7bc16dc775f95f5d944e
outer_0,train,b3721b210ceb79b9df6d
outer_0,train,0678b9ab06824fc69616
outer_0,train,26fdf7a5d5011647b6ef
outer_0,train,6420ef7bdddd242ad55b
outer_0,train,6bef49db4e5a38a0503c
outer_0,train,7920a0d1b98d1a5a5ca0
outer_0,train,5cfa9f94fcf3ede8b23c
outer_0,train,ca22bd9c693d68fbfc84
outer_0,train,93659f4971aae77e7cd5
outer_0,train,000b67a33cdcbc155900
outer_0,train,58336438c8353884b0b8
outer_0,train,0da647c8d6f4bd982136
outer_0,train,9f901e12f57b2b0c8c22
outer_0,train,8146113cc7cd6c341483
outer_0,train,2a2939c71a2c18a9260d
outer_0,train,21cbb1a006dc7e34f5f8
outer_0,train,706895e70a25b52a0444
outer_0,train,2ec6700e2224a3e08867
outer_0,train,26c63f3c5839c506aaf9
outer_0,train,05f124c55ed02953adb0
outer_0,train,68ed55601175ead8ca28
