sample_id,partition,policy,model,clipped
02e436eb18826107a8a1,validation,completed,history_anchor,False
828c5c6d5d8c61cb58e1,validation,completed,history_anchor,False
d7ab3019b08390a6cfca,validation,completed,history_anchor,False
e43846f3cc235cde6504,validation,completed,history_anchor,False
d11f8b621634b39d02a1,validation,completed,history_anchor,False
6e95618ca6713de474ae,validation,completed,history_anchor,False
ba895590c5a78614f6a7,validation,completed,history_anchor,False
53eaf315e45adf6673c7,validation,completed,history_anchor,False
a746eb4532a8496fa3fc,validation,completed,history_anchor,False
4dabe82281322dd9ae8d,validation,completed,history_anchor,False
92bdd2e8a69face6d0b7,validation,completed,history_anchor,False
e2982b1b4c3f002e6329,validation,completed,history_anchor,False
7f6a8a463044f8bedd3d,validation,completed,history_anchor,False
43e629248987f68e519e,validation,completed,history_anchor,False
a83de54d465f5cb81ccb,validation,completed,history_anchor,False
bbab8b2708d9ab5a6aee,validation,completed,history_anchor,False
2b4a29e6a9f1acebd6f1,validation,completed,history_anchor,False
c188a41b25b300b96a7a,validation,completed,history_anchor,False
0c2a9a5204a36526421a,validation,completed,history_anchor,False
aad8247e4605a919c1f5,validation,completed,history_anchor,False
9420a085cea3ab285dc0,validation,completed,history_anchor,False
a5473f8af252e2caeb21,validation,completed,history_anchor,False
8855d674c5b6858c6318,validation,completed,history_anchor,False
6638a17cc405df12960e,validation,completed,history_anchor,False
a4f3938550d07e6b6bd4,validation,completed,history_anchor,False
6fea2ad58175b6cfd403,validation,completed,history_anchor,False
5e2cd51318771fb8e12a,validation,completed,history_anchor,False
8249ff20fcd08f77241f,validation,completed,history_anchor,False
fbe197aea1f068b2a304,validation,completed,history_anchor,False
6dc3424dfb73edbc468b,validation,completed,history_anchor,False
06c305d1b62943d60095,validation,completed,history_anchor,False
19ee154edb10a2b6819a,validation,completed,history_anchor,False
ae428e5c9107ba6ff91d,validation,completed,history_anchor,False
fb04bee46065ca73e235,validation,completed,history_anchor,False
2916179f75a3796da4ba,validation,completed,history_anchor,False
eb26ebcfb5fae6e59c49,validation,completed,history_anchor,False
b004fe14fdaeae2c83b0,validation,completed,history_anchor,False
4507b20bb310dae1f23d,validation,completed,history_anchor,False
369cae0991b42cd5e6a3,validation,completed,history_anchor,False
ecff7508e343e495914e,validation,completed,history_anchor,False
cbfa9e1817c7bcd758eb,validation,completed,history_anchor,False
1e3fd5ac2f2b0dbcdebe,validation,completed,history_anchor,False
37bd4ace14c08990a90b,validation,completed,history_anchor,False
42e6ea0210140bc76b72,validation,completed,history_anchor,False
a8d22d4f76707691ab89,validation,completed,history_anchor,False
78077204d4daf49c8b91,validation,completed,history_anchor,False
5ecc3ce82801dcac57b8,validation,completed,history_anchor,False
446bbd30f2fe62b994bb,validation,completed,history_anchor,False
6499c18f61a0d2643d1c,validation,completed,history_anchor,False
156af913d16fab3692d6,validation,completed,history_anchor,False
fe7b9a4c29924993cbd4,validation,completed,history_anchor,False
a654b953ed1796c42099,validation,completed,history_anchor,False
d5b120fefe220d7d0e79,validation,completed,history_anchor,False
4a91e288bfc11ebeeb16,validation,completed,history_anchor,False
1055c747aa857138a7f8,validation,completed,history_anchor,False
427b39fb5855c16f4469,validation,completed,history_anchor,False
011a7963fe00fadf077f,validation,completed,history_anchor,False
5cc569aa9cba72bc67ce,validation,completed,history_anchor,False
56bce4d83bd926343204,validation,completed,history_anchor,False
c1ffcf512c2721588049,validation,completed,history_anchor,False
f6a26c571ae7839a02c6,validation,completed,history_anchor,False
40aa8845fc346b8c4f88,validation,completed,history_anchor,False
c087f61be351b24fe5c0,validation,completed,history_anchor,False
f27411a15810d6a4859d,validation,completed,history_anchor,False
ebdfb5da540a6984b84c,validation,completed,history_anchor,False
36840234905ac67d771a,validation,completed,history_anchor,False
e36d14fb696c4b9ac172,validation,completed,history_anchor,False
e637eaf17409a0d1ef6e,validation,completed,history_anchor,False
4609f133f899a617eaac,validation,completed,history_anchor,False
d53747deaeef9bde3b82,validation,completed,history_anchor,False
a3a2335b3f3283b1f7ae,validation,completed,history_anchor,False
8e7365ee0e106dbd7b6b,validation,completed,history_anchor,False
5a8a4450970feb9c5591,validation,completed,history_anchor,False
7021513245762ad198b4,validation,completed,history_anchor,False
71c0c9da6f2f990a5dc5,validation,completed,history_anchor,False
47bcc6fad12f551e8abf,validation,completed,history_anchor,False
f7d0fe5dba7e99b7aafc,validation,completed,history_anchor,False
f26c7d05d5c0b5ef5aeb,validation,completed,history_anchor,False
88b034f69a1b4a932925,validation,completed,history_anchor,False
908c1a267a3bc772e104,validation,completed,history_anchor,False
7883f8972fba7640b3ef,validation,completed,history_anchor,False
a4bc10e51e7c44f987e7,validation,completed,history_anchor,False
5d0927247417f99064ab,validation,completed,history_anchor,False
0ce99f0000803b424d60,validation,completed,history_anchor,False
8691d279983e54828d28,validation,completed,history_anchor,False
4cc699f0154ebe4381ab,validation,completed,history_anchor,False
ca561759f01fb42e84f2,validation,completed,history_anchor,False
da13c4f656f407e4aa76,validation,completed,history_anchor,False
f8d8d270d0ed42af6f78,validation,completed,history_anchor,False
bf1890b77ee978a0533b,validation,completed,history_anchor,False
eaee0a582f61d8b157d8,validation,completed,history_anchor,False
714530dc9c832560e443,validation,completed,history_anchor,False
dedb4777198ae9b97014,validation,completed,history_anchor,False
8004b45c1bd1363d5a62,validation,completed,history_anchor,False
7c1742de3cf425b6c6b2,validation,completed,history_anchor,False
b0d3ef9c9e344bcc85fa,validation,completed,history_anchor,False
ec24c7a0711ecff8dba3,validation,completed,history_anchor,False
2a9c1682cb0f5ce88863,validation,completed,history_anchor,False
2774c14ea7d9ef6357fa,validation,completed,history_anchor,False
53cccd11723b0296c4e7,validation,completed,history_anchor,False
55f120ba0155b01b455f,validation,completed,history_anchor,False
ecb8e723ecd4a113aae1,validation,completed,history_anchor,False
bcd47d467c37b577584e,validation,completed,history_anchor,False
75b9ca012c20e4ddf572,validation,completed,history_anchor,False
8c0e0b615a9384d71578,validation,completed,history_anchor,False
c60c5b2e0541c5af6410,validation,completed,history_anchor,False
61469f9e5983ebedec87,validation,completed,history_anchor,False
6632587eeaa5e41bd375,validation,completed,history_anchor,False
2f1a76f31e7d0d2f849b,validation,completed,history_anchor,False
8b90ca0547f8adc5ee82,validation,completed,history_anchor,False
8001d7857afc0dfd936d,validation,completed,history_anchor,False
80c000eef032fbdce5cc,validation,completed,history_anchor,False
eba8e1a1fcd6068199f2,validation,completed,history_anchor,False
7cb07b052c74c1021e85,validation,completed,history_anchor,False
0a35d36b70d005dfa1b7,validation,completed,history_anchor,False
266ee4b383cf6af7443e,validation,completed,history_anchor,False
25f51871a80aada3a297,validation,completed,history_anchor,False
1c15914464b85b065a6c,validation,completed,history_anchor,False
157d35130df80b1e21e1,validation,completed,history_anchor,False
5895ad7f0377289350c8,validation,completed,history_anchor,False
7e6df8b8d9d288bd8f9a,validation,completed,history_anchor,False
ced0780019678fd74960,validation,completed,history_anchor,False
f89a8c4b9b804d001d96,validation,completed,history_anchor,False
841db26f2f0d8f4e8ba0,validation,completed,history_anchor,False
7f6eb6e343f95ccb5454,validation,completed,history_anchor,False
6c7d463e171d944c3227,validation,completed,history_anchor,False
78c17506be7d8866fc6c,validation,completed,history_anchor,False
410fc273062c9f00d769,validation,completed,history_anchor,False
d7afa0e96332624f599b,validation,completed,history_anchor,False
e2dd5c71b321592f8483,validation,completed,history_anchor,False
8f4c35e333ab8fd14f57,validation,completed,history_anchor,False
428b7bcf1b131357888c,validation,completed,history_anchor,False
4c65a7000abbb4b892bc,validation,completed,history_anchor,False
934997f00ccf47f5021b,validation,completed,history_anchor,False
9d1a75c7f26925bb424b,validation,completed,history_anchor,False
a59c268c4629b8813a10,validation,completed,history_anchor,False
76ed0002cfd72ba3c54c,validation,completed,history_anchor,False
7825792d6c2528de0cc3,validation,completed,history_anchor,False
a6aee8777d1c409767c9,validation,completed,history_anchor,False
9d188a1ef3c30df74559,validation,completed,history_anchor,False
12e2c305863d1d5336fe,validation,completed,history_anchor,False
