WAFER_ID,STAGE,source_file,start,end,rows,gap_from_previous_file
-4027511790,B,CMP-training-039.csv,482839144.333,482839199.0,56,
-4027511790,B,CMP-training-040.csv,482839200.0,482839525.667,309,1.0
-4027511782,B,CMP-training-039.csv,482838936.0,482839199.0,249,
-4027511782,B,CMP-training-040.csv,482839200.0,482839313.0,112,1.0
-899170148,B,CMP-training-014.csv,482117805.667,482117998.667,194,
-899170148,B,CMP-training-015.csv,482118000.0,482118188.667,171,1.3330000042915344
1296253608,A,CMP-training-156.csv,486380374.667,486380396.0,17,
1296253608,A,CMP-training-157.csv,486380401.667,486380719.667,310,5.666999995708466
1300253514,B,CMP-training-164.csv,486610620.333,486610799.667,180,
1300253514,B,CMP-training-165.csv,486610800.333,486610989.333,170,0.6660000085830688
1306253764,A,CMP-training-146.csv,486092357.333,486092399.333,43,
1306253764,A,CMP-training-147.csv,486092400.333,486092713.333,295,1.0
1308253546,A,CMP-training-146.csv,486092177.333,486092399.333,207,
1308253546,A,CMP-training-147.csv,486092400.333,486092523.333,122,1.0
1322253620,B,CMP-training-141.csv,485949254.0,485949598.667,329,
1322253620,B,CMP-training-142.csv,485949604.0,485949612.667,4,5.333000004291534
1328253772,B,CMP-training-141.csv,485949442.667,485949598.667,157,
1328253772,B,CMP-training-142.csv,485949604.0,485949805.0,175,5.333000004291534
1475739292,B,CMP-training-091.csv,484509193.0,484509599.0,407,
1475739292,B,CMP-training-092.csv,484509600.333,484510000.333,304,1.3330000042915344
1846206762,A,CMP-training-111.csv,485085521.333,485085599.667,60,
1846206762,A,CMP-training-112.csv,485085600.0,485085817.333,219,0.3330000042915344
2056207562,A,CMP-training-138.csv,485863006.333,485863199.0,356,
2056207562,A,CMP-training-139.csv,485863200.333,485863293.0,182,1.3330000042915344
2058207622,A,CMP-training-155.csv,486351493.667,486351599.667,107,
2058207622,A,CMP-training-156.csv,486351600.667,486351787.667,171,1.0
2062207626,A,CMP-training-138.csv,485863157.0,485863199.0,43,
2062207626,A,CMP-training-139.csv,485863200.333,485863437.333,222,1.3330000042915344
2062207642,A,CMP-training-134.csv,485747895.0,485747999.0,105,
2062207642,A,CMP-training-135.csv,485748000.0,485748190.0,174,1.0
2667292672,B,CMP-training-159.csv,486466492.667,486466798.667,280,
2667292672,B,CMP-training-160.csv,486466804.333,486466848.667,60,5.666000008583069
2913014250,B,CMP-training-092.csv,484538066.0,484538399.0,315,
2913014250,B,CMP-training-093.csv,484538400.0,484538422.333,23,1.0
2921014258,A,CMP-training-087.csv,484373671.0,484389093.333,198,
2921014258,A,CMP-training-088.csv,484402825.667,484402981.667,155,13732.333999991417
3025014286,A,CMP-training-107.csv,484970155.667,484970399.667,241,
3025014286,A,CMP-training-108.csv,484970400.667,484970515.333,112,1.0
3031014568,B,CMP-training-104.csv,484883646.0,484883999.333,336,
3031014568,B,CMP-training-105.csv,484884000.333,484884002.333,3,1.0
3033014334,B,CMP-training-104.csv,484883837.333,484883999.333,164,
3033014334,B,CMP-training-105.csv,484884000.333,484884198.333,181,1.0
4179773608,B,CMP-training-076.csv,484077507.333,484077599.333,94,
4179773608,B,CMP-training-077.csv,484077600.667,484077879.333,260,1.3339999914169312
4181773354,B,CMP-training-074.csv,484019776.0,484019999.0,209,
4181773354,B,CMP-training-075.csv,484020000.333,484020147.0,146,1.3330000042915344
4189773394,B,CMP-training-081.csv,484221422.0,484221599.0,178,
4189773394,B,CMP-training-082.csv,484221600.0,484221789.0,171,1.0
4229773746,A,CMP-training-053.csv,483242290.0,483242399.667,111,
4229773746,A,CMP-training-054.csv,483242401.0,483242654.667,238,1.3330000042915344
