stage,model,slice,n,mae,rmse,r2,negative_predictions,selected_by_validation,calibration_n,interval_radius,coverage,mean_interval_width,validation_mae
A,CatBoost,all,174,2.816434919055342,3.626188033627332,0.9888375541188168,0,True,125.0,8.047450706710642,0.9655172413793104,16.094901413421276,3.111225710276315
A,GlobalMean,all,174,35.21591378215422,35.95253801119816,-0.0972809356165116,0,False,125.0,48.15614060118544,0.9655172413793104,96.31228120237084,38.25991879690334
A,KNN,all,174,5.929657881087589,27.989453811308856,0.334960298005042,0,False,125.0,16.956216565004027,0.9885057471264368,33.91243313000805,4.972009743896769
A,LightGBM,all,174,2.7567753841423173,3.5267685040908163,0.9894412469454864,0,False,125.0,7.6621054930491965,0.9655172413793104,15.324210986098397,3.2544137062986804
A,Physics+CatBoost,all,174,5.919785386918236,7.100366345288176,0.9572023188170216,0,False,125.0,11.25665962632084,0.8908045977011494,22.513319252641683,4.162415567232023
A,Physics+LightGBM,all,174,5.663493081741522,6.810197348985512,0.9606288482146828,0,False,125.0,10.544774601896217,0.896551724137931,21.08954920379243,4.196210197414495
A,PLS,all,174,42.88647237144316,74.12716222686964,-3.6645899756433433,9,False,125.0,299.8491996351303,0.9942528735632185,365.8666913809445,69.22297192456227
A,PrestonInspired,all,174,11.346298607347908,22.592382791208664,0.5667058743050801,0,False,125.0,66.91468161213798,0.9310344827586208,133.80504082151683,13.656650129904826
A,RandomForest,all,174,7.744966076460488,34.48475635615238,-0.0095156346545857,0,False,125.0,17.532482671252545,0.9540229885057472,35.064965342505104,24.210918341918763
A,Ridge,all,174,25.124120504137892,54.45657603193989,-1.517441507366621,3,False,125.0,235.1132906976223,0.9885057471264368,321.85406818373406,40.49448685524992
A,StageMean,all,174,42.67575505780346,43.62590364609179,-0.6156511615177938,0,False,125.0,64.38129537572254,1.0,128.76259075144506,42.80296213377373
A,SVR,all,174,6.292224857905626,8.426724526890668,0.9397195730998732,0,False,125.0,25.49804355332526,0.9942528735632185,50.99608710665052,8.731128116619137
A,XGBoost,all,174,2.6857810034039376,3.4143614747215096,0.9901035890645818,0,False,125.0,9.17745542602539,1.0,18.35491371154785,3.2037154646344868
B,CatBoost,all,122,2.8088022042813807,3.5601192685012726,0.6696802632255348,0,False,82.0,6.982713659368706,0.9262295081967212,13.965427318737412,4.277631749341331
B,GlobalMean,all,122,27.545578715939527,28.23347572878965,-19.77466936002264,0,False,82.0,42.98114060118543,0.9918032786885246,85.96228120237086,29.29770658479201
B,KNN,all,122,5.588196525564818,6.613710150946238,-0.1399760944475514,0,False,82.0,13.132254355032792,0.9508196721311476,26.264508710065577,8.973695443111247
B,LightGBM,all,122,2.8434954224670075,3.533825388393133,0.6745415126293913,0,False,82.0,7.2453466653842895,0.9508196721311476,14.49069333076858,4.1235895997602245
B,Physics+CatBoost,all,122,4.645549772784235,5.617996275114932,0.1774386063203467,0,True,82.0,8.923255475953823,0.9098360655737704,17.846510951907643,3.3267006102815584
B,Physics+LightGBM,all,122,6.091772014777645,7.3035220756680035,-0.3901770709078493,0,False,82.0,9.959235936736512,0.819672131147541,19.91847187347303,3.5433533072917682
B,PLS,all,122,5.065052368856291,6.317762800088507,-0.0402364349974713,0,False,82.0,10.137820575503165,0.9016393442622952,20.27564115100632,6.126740420900975
B,PrestonInspired,all,122,6.57543983537982,8.003022151172663,-0.6692195649374844,0,False,82.0,8.637585875780218,0.6721311475409836,17.275171751560432,5.531551833844034
B,RandomForest,all,122,2.684190314719838,3.4930823957134565,0.6820029519012802,0,False,82.0,7.499474840706128,0.9508196721311476,14.998949681412258,4.4981242440239795
B,Ridge,all,122,4.424663997011519,5.427342307328557,0.2323206543763715,0,False,82.0,11.067699565369118,0.9590163934426228,22.135399130738232,7.669949485590775
B,StageMean,all,122,5.948039195916728,7.706548685946375,-0.5478372044251572,0,False,82.0,20.020389877300616,0.9918032786885246,40.04077975460122,8.895647734587149
B,SVR,all,122,4.253341533830616,5.2668813749731935,0.2770429412920295,0,False,82.0,10.85415149769672,0.9754098360655736,21.70830299539343,5.860237140949625
B,XGBoost,all,122,2.784555832359439,3.4720740667244177,0.6858164875897241,0,False,82.0,6.353841503906253,0.9098360655737704,12.707685470581056,4.176590245931656
