stage,variable_id,level,input_value,status,delta,threshold,ood
A,CTRL-PRESSURE-01,p25,32.346452135072475,ok,1.143748599011431,0.0704820555288444,normal
A,CTRL-PRESSURE-01,p75,65.11035608935669,ok,-1.0795284809870225,0.0704820555288444,normal
A,CTRL-SLURRY-01,p25,2.7205472314811563,ok,1.4350974618637622,0.0704820555288444,normal
A,CTRL-SLURRY-01,p75,5.407449024581897,ok,-0.04835604836577545,0.0704820555288444,normal
A,CTRL-ROTATION-01,p25,8.611563037060929,ok,0.006472775250259133,0.0704820555288444,normal
A,CTRL-ROTATION-01,p75,14.895019617186557,ok,0.4275861110923529,0.0704820555288444,normal
A,CTRL-ROTATION-02,p25,38.259123099694335,OOD_DANGER,,,danger
A,CTRL-ROTATION-02,p75,59.71458519092113,ok,0.10936901516970465,0.0704820555288444,warning
A,CTRL-ROTATION-03,p25,159.58846611792723,ok,-0.011682583891712284,0.0704820555288444,normal
A,CTRL-ROTATION-03,p75,160.3270731857698,ok,0.0,0.0704820555288444,normal
B,CTRL-PRESSURE-01,p25,34.788808178635314,ok,0.026779339392319912,0.09197778992220827,normal
B,CTRL-PRESSURE-01,p75,65.27853881277919,ok,-0.17692433907676275,0.09197778992220827,normal
B,CTRL-SLURRY-01,p25,3.304431599228092,ok,-0.09907338125448462,0.09197778992220827,normal
B,CTRL-SLURRY-01,p75,5.523041104687457,ok,-1.993836031906966,0.09197778992220827,normal
B,CTRL-ROTATION-01,p25,14.300006625583247,ok,-0.05351895596922418,0.09197778992220827,normal
B,CTRL-ROTATION-01,p75,14.83816129470532,ok,-0.13488827198389686,0.09197778992220827,normal
B,CTRL-ROTATION-02,p25,56.91766036178916,OOD_DANGER,,,danger
B,CTRL-ROTATION-02,p75,59.51177285313675,OOD_DANGER,,,danger
B,CTRL-ROTATION-03,p25,160.0463768115942,ok,-0.0010967481622685682,0.09197778992220827,normal
B,CTRL-ROTATION-03,p75,160.31536231884056,ok,-0.024405474540046157,0.09197778992220827,normal
